"year","income_group","mean_grocery_spend","mean_dining_spend","mean_school_lunch_spend","mean_total_food_spend","n_households"
2013,"$10,000 to $14,999",789.496402877698,209.410625345877,154.894736842105,1000.53569452131,1807
2013,"$15,000 to $19,999",861.075318655852,247.680185399768,110.823529411765,1109.84704519119,1726
2013,"$20,000 to $29,999",988.528887421591,317.817761637504,118.313725490196,1308.33872565203,3029
2013,"$30,000 to $39,999",1075.32933683027,361.867366054702,152.47619047619,1443.19520419633,2669
2013,"$40,000 to $49,999",1156.19965277778,420.518663194444,138.39837398374,1584.10677083333,2304
2013,"$5,000 to $9,999",769.766871165644,203.085889570552,85.4545454545455,973.676599474146,1141
2013,"$50,000 to $69,999",1226.98336061102,503.555919258047,160.040983606557,1741.19121658483,3666
2013,"$70,000 and over",1574.32978230662,784.808012968967,197.428320140721,2385.13084761464,8636
2013,"Under $5,000",812.46017699115,219.738938053097,202.36,1036.67610619469,1130
2013,NA,1201.13461686561,491.04433320498,172.584943639291,1703.18398151714,38955
2014,"$10,000 to $14,999",493.700564971751,199.138317757009,771.901327178304,987.570560747664,2140
2014,"$15,000 to $19,999",509.96556122449,261.557765151515,885.252513305736,1159.65198863636,2112
2014,"$20,000 to $29,999",578.010169491525,326.080577427822,1000.85896596859,1352.63963254593,3810
2014,"$30,000 to $39,999",592.120450033091,373.521968365554,1095.84939538292,1511.56151142355,3414
2014,"$40,000 to $49,999",555.896274653031,440.422778561354,1139.18327556326,1635.85895627645,2836
2014,"$5,000 to $9,999",463.46106557377,215.835809806835,767.747663551402,994.18573551263,1346
2014,"$50,000 to $69,999",613.348095659876,525.635626643295,1254.75626853599,1848.78001752848,4564
2014,"$70,000 and over",651,809.240883458647,1549.33224093118,2487.39962406015,10640
2014,"Under $5,000",513.185714285714,214.907128842381,798.067851373183,1049.04185742315,1529
2014,NA,599.297403517815,505.498687907135,1201.0207330478,1770.91886635176,64782
2015,"$10,000 to $14,999",60.7904391328516,473.685564304462,1134.27664041995,1665.37007874016,1905
2015,"$15,000 to $19,999",60.8415584415584,482.687128712871,1175.28465346535,1715.95198019802,2020
2015,"$20,000 to $29,999",56.3073734083506,495.281232492997,1177.47282913165,1726.01736694678,3570
2015,"$30,000 to $39,999",58.018787663949,513.909640577763,1207.51729929459,1776.40544171985,2977
2015,"$40,000 to $49,999",61.2139573756791,506.767025089606,1227.02867383513,1792.13301473517,2511
2015,"$5,000 to $9,999",53.4043209876543,469.36583011583,1150.70366795367,1670.17471042471,1036
2015,"$50,000 to $69,999",64.3582766439909,524.069605009634,1226.19267822736,1811.78395953757,4152
2015,"$70,000 and over",72.4464640444974,596.27298023412,1322.84216081366,1989.10084436768,10422
2015,"Under $5,000",56.2394797245601,457.9368723099,1170.39239598278,1681.05882352941,1394
2015,NA,64.1639361441995,532.328152619818,1237.76883567355,1831.35907013975,59966
2016,"$10,000 to $14,999",67.702924576706,568.666495638789,1264.5833760903,1900.9527963058,1949
2016,"$15,000 to $19,999",61.5743879472693,549.490583804143,1241.78860640301,1852.85357815443,2124
2016,"$20,000 to $29,999",59.3047722342733,547.065075921909,1226.0737527115,1832.44360086768,3688
2016,"$30,000 to $39,999",65.5061845861085,540.137963843958,1254.63019346654,1860.27434189661,3153
2016,"$40,000 to $49,999",61.7390990990991,546.687207207207,1240.7809009009,1849.20720720721,2775
2016,"$5,000 to $9,999",67.9369936993699,575.262826282628,1277.64716471647,1920.84698469847,1111
2016,"$50,000 to $69,999",65.0653002859867,560.588179218303,1246.23474737846,1871.88822688275,4196
2016,"$70,000 and over",60.5524197039217,555.006925807289,1254.89827720544,1870.45762271665,11551
2016,"Under $5,000",61.9234848484848,526.403787878788,1215.16136363636,1803.48863636364,1320
2016,NA,62.4072063023759,552.665170584727,1247.97269388908,1863.04507077618,63722
2017,"$10,000 to $14,999",61.3791866028708,589.927631578947,1282.9288277512,1934.23564593301,1672
2017,"$15,000 to $19,999",59.7044881492688,547.639939485628,1269.52395360565,1876.86838124054,1983
2017,"$20,000 to $29,999",65.8117070357555,574.730680507497,1259.22952710496,1899.77191464821,3468
2017,"$30,000 to $39,999",72.4866497139224,550.083598219962,1267.26700572155,1889.83725365544,3146
2017,"$40,000 to $49,999",63.0634165675783,558.624256837099,1268.70749108205,1890.39516448672,2523
2017,"$5,000 to $9,999",65.6485655737705,564.785860655738,1254.97643442623,1885.41086065574,976
2017,"$50,000 to $69,999",62.7586375888263,539.972800784122,1230.48395001225,1833.2153883852,4081
2017,"$70,000 and over",62.2392792168414,571.076236680239,1261.89534782985,1895.21086372693,11543
2017,"Under $5,000",61.3428571428571,580.205405405405,1261.79845559846,1903.34671814672,1295
2017,NA,63.7189923743727,563.799973929479,1259.87199374308,1887.39096004693,61372
2018,"$10,000 to $14,999",67.7687296416938,546.820846905537,1191.59283387622,1806.18241042345,307
2018,"$15,000 to $19,999",66.3249299719888,556.957983193277,1271.21008403361,1894.49299719888,357
2018,"$20,000 to $29,999",69.356204379562,569.459064327485,1281.87153284672,1919.85547445255,685
2018,"$30,000 to $39,999",73.7043010752688,529.008960573477,1215.01612903226,1817.729390681,558
2018,"$40,000 to $49,999",74.4814814814815,647.444444444444,1330.44249512671,2052.36842105263,513
2018,"$5,000 to $9,999",69.6473988439306,500.947976878613,1233.80924855491,1804.40462427746,173
2018,"$50,000 to $69,999",66.0495978552279,532.938337801609,1272.44101876676,1871.42895442359,746
2018,"$70,000 and over",68.6811023622047,592.984251968504,1302.58267716535,1964.24803149606,2286
2018,"Under $5,000",67.9347079037801,596.639175257732,1346.90034364261,2011.47422680412,291
2018,NA,69.3005940301812,596.513627865788,1295.5557318378,1961.33327183953,81309
2019,NA,68.5859932677573,594.472042123463,1309.67973385375,1972.72219675438,76349
2020,NA,83.2407910553442,518.506563452195,1427.15553835768,2028.76354744694,60731
2021,NA,82.2866302618849,606.302970167123,1500.57740983607,2188.87301639344,61000
2022,NA,86.5146124090452,712.568796864349,1658.20954961403,2457.25653085221,58683
2023,NA,404.972105245427,274.828805375502,375.849676724138,730.250883889466,113702
2024,NA,1113.46671980869,188.922767448948,79.551867219917,428.169094788174,32810
NA,NA,NA,NA,NA,0,7
